Company Name,Founded,Location,Sector,What it does,Founders,Investor,Amount,Stage
LoadShare,2017,Bangalore,Logistics & Supply Chain,LoadShare is one of India's fastest-growing logistics companies with a  far-reaching express and logistics network,"Raghuram Talluri, Pramod Nair",Tiger Global,"$40,000,000",Series C
Scaler,2019,Bangalore,E-learning,Scaler is devoted to creating a growth ecosystem to help software professionals unlock talent and opportunities at every stage of their career.,Abhimanyu Saxena,Lightrock India,"$55,000,000",
Chargebee,2011,Chennai,Financial Services,Chargebee is a recurring billing and subscription management tool that helps SaaS and SaaS-like businesses streamline Revenue Operations.,"Krish Subramanian, Thiyagarajan T, Rajaraman Santhanam, Saravanan KP","Tiger Global, Sequoia Capital","$250,000,000",
Nautilus Mobile,2014,Pune,Computer Games,Nautilus Mobile is an independent mobile gaming studio,Rajan Navani,KRAFTON,"$5,400,000",
Waterfield Advisors,2011,Mumbai,Financial Services,"India's largest Multi-Family Office and Wealth Advisory firm, providing holistic advice without any conflict of interest",Soumya Rajan,,"$6,000,000",Series B
OneTo11,2020,Noida,Sports,OneTo11 is a tech driven gaming company.,Ravindra Kumar,"Maximus Capital, GDA Capital, Magnus Capital, NFT Technologies","$2,500,000",Seed
Scrut Automation,2021,Bangalore,Information Technology & Services,"Scrut Provides the deepest cloud integration, which monitors against 140+ vulnerabilities","Ayush Ghosh Choudhury, Kush Kaushik","Lightspeed, Endiya Partners","$3,000,000",
The Renal Project,2019,Mumbai,Hospital & Health Care,The Renal Project (TRP) is a chain of dialysis micro-centres revolutionizing the availability and delivery of dialysis therapy.,Shashank Moddhia,"Emcure Pharmaceuticals, Aman Gupta, Sameer Mehta",,
ZERUND,2018,Guwahati,Building Materials,Zerund brick is known as Plastic Embedded Lightweight Brick. It is a patented lightweight brick of Zerund Manufacturing Pvt. Ltd.,"Rupam Choudhury, Mousum Talukdar, David Pratim Gogoi",NEDFi Venture Capital,Undisclosed,Pre-series A
Zama Organics,2016,Mumbai,Food & Beverages,Zama offers fresh organic produce sourced from farmers and artisans around India.,Shriya Naheta Wadhwa,"Ajay Kaushal, Arjun Lamba",Undisclosed,Pre-series A
Jar,2021,Bangalore,Financial Services,Jar is a daily gold savings app that lets you save money by taking spare change from your online transactions and investing it in digital gold automatically.,"Misbah Ashraf, Nishchay AG",Tiger Global,"$32,000,000",Series A
Bombay Shaving Company,2015,New Delhi,Consumer Goods,Personal care and hair removal brand,Shantanu Deshpande,Gulf Islamic Investments,"$6,000,000",
Logibricks,2017,Pune,Computer Software,Logibricks is a SaaS platform that helps online retailers manage their post-purchase operations from start to finish.,"Ameya Shah, Karan Kabra, Shereef Mohammed",Shiprocket,"$1,500,000",
Pillow,2021,Bangalore,Financial Services,"Pillow aims to make participation in DeFi as simple as possible, by abstracting out all technical, security, and strategic concerns","Arindam Roy, Rajath KM, Kartik Mishra",Elevation Capital,"$3,000,000",Seed
SatSure,2017,Bangalore,Defense & Space,SatSure is an innovative decision analytics company,"Prateep Basu, Rashmit Singh Sukhmani, Abhishek Raju","Baring PE India, ADB Ventures","$5,000,000",Pre-series A
Trifecta Capital,2015,Gurgaon,Venture Capital & Private Equity,Trifecta Capital is India's leading alternate financing platform for startups across their life cycle.,"Rahul Khanna, Nilesh Kothari",,"$200,000,000",
Kritsnam,2015,Hyderabad,Information Technology & Services,Kritsnam Technologies has evolved from IIT Kanpur research and innovation centre with a vision towards data-driven water management.,"K Sri Harsha, Prudhvi Sagar, Vinay Chataraju, Neeraj Rai","Ashish Gupta, Kunal Shah, Vikram Karunakaram","$800,000",Pre-series A
Dvara SmartGold,2019,Mumbai,Financial Services,Investment service to financially integrate every household in the country through a uniquely curated gold savings plan.,Sanjeev Agarwal,"Axilor, Dvara Holdings","$2,000,000",Pre-series A
GoalTeller,2020,Bangalore,Information Technology & Services,GoalTeller is a bootstrapped fintech startup with an aim to provide financial planning tools to individual investors.,"Vivek Banka, Abhisek Puglia","Dr Ranjan Pai, Pankaj Fitkariwala, Himanshu Bhagat","$500,000",Pre-series A
Goldsetu,2021,Bangalore,SaaS,Gold Setu is a mobile-first SaaS platform for jewellery retailers that helps them to automate their workflows and digitally engage with their customers.,"Vikas Verma, Anuj Sachdev","Village Global, Better Capital, Titan Capital, iSeed","$1,200,000",Seed
Meraqui,2019,Pune,Human Resources,"A SaaS-enabled platform for effective grey and blue-collar workforce management specializing in employee lifecycle management, jobs and requisition management, and training and/or interview assessments.","Shalin Maheshwari, Lalit Singh",,"$1,000,000",Seed
Elever,2020,Bangalore,Financial Services,"India’s one-of-a-kind, fully personalised, goal-based investing app.","Anshul Sharan, Ram Subramaniam, Santosh R","Massimo Vita, Udaya Kumar","$750,000",
Hero FinCorp,1991,New Delhi,Financial Services,"Delhi-based ?Hero FinCorp?, a non-banking finance company",Abhimanyu Munjal,"Apollo, Hero MotoCorp","$267,000,000",
Livspace,2015,Bangalore,Home interior,"Livspace is a trusted interior design marketplace that connects interior designers, vendors and customers across India and Singapore.","Anuj Srivastava, Ramakant Sharma","Ingka Group Investments, Jungle Ventures, Venturi Partners, Peugeot Investments","$180,000,000",Series F
ElasticRun,2016,Pune,B2B E-commerce,ElasticRun is a Kirana Commerce Platform. It enables businesses to reach small Kirana stores in the deep rural parts of India.,"Sandeep Deshmukh, Saurabh Nigam, Shitiz Bansal","SoftBank, Goldman Sachs","$300,000,000",Series E
Mintifi,2017,Mumbai,Financial Services,India's first Deep Tier Channel Financing Platform,,Automating your Receivables Management,,Working Capital to SMEs
Anveya Living,2018,Bangalore,Consumer Goods,"Anveya is building powerful brands that create a positive impact for the consumer, the industry and the planet.","Vivek Singh, Saurav Patnaik",Rukam Capital,"$1,000,000",Seed
Kofluence,2019,Bangalore,Marketing & Advertising,Kofluence connects Brands to Social Media Influencers.,"Sreeram Reddy Vanga, Ritesh Ujjwal","Kunal Shah, Apoorva Mehta","$4,000,000",Pre-series A
Mango Point,2018,Chennai,Food & Beverages,Natural and Healthy Fresh Mangoes and Mango Gourmet Products,"Manjula Gandhi Rooban, Prasanna Venkatarathnam","The Chennai Angels, Native Angel Network, Keiretsu Chennai","$200,000",
IndiaP2P,2021,Mumbai,Investment Management,Peer-to-peer investment platform,"Neha Juneja, Ravinder Voomidisingh, Mohit Gupta",Antler India,Undisclosed,Seed
Sprinto,2020,Bangalore,Computer Software,"Sprinto helps SaaS companies become SOC-2 compliant, close enterprise deals, and pass vendor security assessments easily","Girish Redekar, Raghuveer Kancherla",Elevation Capital,"$10,000,000",Series A
Xpressbees,2015,Pune,Logistics & Supply Chain,Fastest growing express logistics service provider in India catering to end-to-end supply chain solutions.,"Amitava Saha, Supam Maheshwari","Blackstone Growth, TPG Growth, ChrysCapital","$300,000,000",Series F
Wealthy.in,2015,Bangalore,Financial Services,Enable professionals to grow wealth for investors,"Aditya Agarwal, Prashant Gupta",Alpha Wave Incubation,"$7,500,000",Series A
xto10x,2019,Bangalore,Information Technology & Services,Helping startups all over the world scale meaningfully into world-class companies.,"Binny Bansal, Saikiran Krishnamurthy",,"$25,000,000",Series A
Karbon Card,2019,Bangalore,Financial Services,"Karbon Card is a B2B payment solution for India's finance leaders, entrepreneurs, business owners and corporate executives.","Pei-fu Hsieh, Amit Jangir, Kartik Jain, Sunil Sinha","Olive Tree Capital, Harmony, Avenir Growth Capital","$15,000,000",Series A
Oloid,2018,Bangalore,Computer Software,Oloid is a physical identity software platform committed to providing secure and privacy-forward authentication for the modern workplace.,"Madhu Madhusudhanan, Mohit Garg",Dell Technologies Capital,"$12,000,000",Series A
Bugworks,2014,Bangalore,Biotechnology,Path breaking solutions to large unmet needs in Antimicrobial resistance (AMR) and immuno-oncology.,Anand Anandkumar,Lightrock India,"$18,000,000",Series B1
Peakperformer,2020,Bangalore,Professional Training & Coaching,Empowering organizations by building leaders at all career levels.,"Aishwarya Goel, Nilesh Agarwal","Antler India, Blume Founders Fund","$3,000,000",Seed
Carbanio,2017,Hyderabad,B2B Marketplace,India's largest Chemicals Bazaar for buying and selling chemicals online,"Dr Rafi S, Vijay Devarakonda",Quantico Group USA,"$1,300,000",Seed
Life & Pursuits,2016,Noida,"Health, Wellness & Fitness","Life & Pursuits is an Ayurveda beauty & wellness brand that focuses on global demand for organic, safe and effective products.","Mudit Consul, Aditi Consul, Manshu Aneja, Mani Agarwal","Pankaj Agrawal, Supermorpheus and Eagle10 Ventures","$500,000",
Cercle X,2020,Coimbatore,Environmental Services,Infinite Cercle is the parent company of a group of companies dealing predominantly with enabling a circular economy and sustainability.,"Vishnu Vardhaan, Divya Shetty",Inflection Point Ventures,"$250,000",Seed
Spacejoy,2019,Bangalore,Design,Building the future of home designs by weaving art and interactive 3D technology to enable the joy of designing homes in simple and easy steps.,"Arnab Saharoy, Vinay Indresh",Accel Partners,"$4,000,000",Pre-series A
Better Opinions,2021,Gurgaon,Financial Services,"Better Opinions, an even trading platform",Samay Jain,"Java Capital, Soma Capital","$1,000,000",Seed
Prolance,2020,Bangalore,Furniture,"Prolance,  a manufacturing platform for interior design companies","Rama Harinath K, Vivek Parasuram, Raghunath Gururajan, Jaisimha Sathyanarayana, Manoj K","Srini Anumolu, Karthik Bhat","$500,000",Pre-series A
Runo,2019,Secunderabad,Computer Software,"Runo delivers the functionalities of a full-function Customer Relationship Management suite, all built into a mobile app.","Rajsekhar Pattnaik, PV Vamsi",Unicorn India Ventures,"$500,000",Pre-series A
RENEE Cosmetics,2019,Ahmedabad,Cosmetics,"RENÉE Cosmetics is an Indian makeup brand empowering bold & beautiful women with innovative, cruelty-free products.","Aashka Goradia Goble, Ashutosh Valani, Priyank Shah",Mensa Brands,"$1,000,000",Series A
Altigreen,2012,Bangalore,Automotive,"Altigreen is a leader in Electric Vehicle (EV) technology and solutions for Last Mile Transportation (LMT) through 2, 3 and 4 wheeled vehicles for commercial use.","Amitabh Saran, Lasse Mocklegaard, Shailendra Gupta, John Bangura",,"$40,000,000",Series A
InMobi’s Glance,2019,Bangalore,Software,Glance is an artificial intelligence based software company that delivers personalised content to the lock screens of smartphones.,Naveen Tewari,Jio Platforms,"$200,000,000",
Kenko Health,2019,Mumbai,Hospital & Health Care,"Kenko Health is a new take on Health financing, with deeper and wider coverage options at significantly lower prices. Check out our plans with wide OPD coverage","Aniruddha Sen, Dhiraj Goel",Sequoia Capital India,"$12,000,000",Series A
Aulerth,2021,Gurgaon,Luxury Goods & Jewelry,Aulerth is bridging the gap between two worlds by creating jewelry that is couture-inspired and consciously made.,Vivek Ramabhadran,"Tarun Tahilian, M Venture Partners","$1,100,000",Seed
AltUni,2013,Mumbai,Education Management,Community-based alternative digital university,Ankit Doshi,"Amit Gupta, Mukesh Maniar, Rahul Gupta, Gautam Gurnani","$500,000",
GreenPod Labs,2019,Chennai,Biotechnology,Provide cost-effective post-harvest solutions to extend the shelf life of fruits and vegetables during storage and transport.,Deepak Rajmohan,Indian Angel Network,"$500,000",Pre-seed
RapiPay,2021,New Delhi,Financial Services,A single app for all banking and financial needs.,Nipun Jain,Varun Jaipuria,"$15,000,000",
Entri.app,2015,Kochin,E-learning,"E-learning Entri is a vernacular language learning platform for India, focused on helping people acquire relevant job skills.",Mohammed Hisamuddin,"Omidyar Network India, Innospark Ventures","$7,000,000",Series A
GOQii,2014,Mumbai,"Health, Wellness & Fitness",GOQii is a smart preventive healthcare ecosystem which enables you to live a healthy and active life!,Vishal Gondal,Sumeru Ventures,"$50,000,000",Series C
Proactive For Her,2020,Bangalore,"Health, Wellness & Fitness","Proactive For Her is a digital platform for women, offering accessible, personalized and confidential healthcare solutions.",Achitha Jacob,"Vertex Ventures, Nexus Venture Partners","$5,500,000",Series A
Actyv.ai,2019,Bangalore,Computer Software,Large enterprises are using Actyv.ai to transform their supply chains and to empower their Channel Partners.,"Raghunath Subramanian, Raghu Venkat, Ramkumar Thirumurthi",1Digi Investment management,"$5,000,000",Pre-series A
Lummo,2019,Bangalore,SaaS,Lummo exists for entrepreneurs filled with motivation and a zeal to grow.,Krishnan Menon,Jeff Bezos,"$80,000,000",Series C
Uniphore,2008,Chennai,Computer Software,"Uniphore is the global leader in Conversational Service Automation (CSA), which combines the power of artificial intelligence, automation technology and machine learning.","Umesh Sachdev, Ravi Saraogi",March Capital,"$400,000,000",Series E
Join Ventures,2020,Mumbai,Venture Capital & Private Equity,"Join Ventures, house of D2C brands for celebrations, is building leadership through its growing portfolio of brands, including IGP.com",Tarun Joshi,"DSG Consumer Partners, Rajiv Dadlani Group, 9Unicorns, Venture Catalysts","$1,000,000",Series A
AGRIM,2020,Gurgaon,AgriTech,"A B2B Agri-Input e-commerce marketplace, which brings small retailers and manufacturers on one platform.","Avi Jain, Mukul Garg",Kalaari Capital,"$10,000,000",Series A
DealShare,2018,Bangalore,Social commerce,"Dealshare is a fast growing social e-commerce startup, an online buying platform for multi-category consumer products, focused on the new 'WhatsApp first' India.","Rajat Shikhar, Sankar Bora, Sourjyendu Medda, Vineet Rao",Abu Dhabi Investment Authority,"$45,000,000",Series E
GrowFitter,2016,Mumbai,"Health, Wellness & Fitness",Growfitter is a gamified digital health reward platform that adds financial benefits to your physical activity!,"Harshit Sethy, Sanmati Pande",DevX Venture Fund,"$1,200,000",
Stellapps,2011,Bangalore,Computer Software,Stellapps is an end-to-end dairy technology solutions company – the first of its kind in India.,Ranjith Mukundan,IDH FarmFit,Undisclosed,
Propelld,2017,Bangalore,Financial Services,Propelld is a series-B funded fintech company that enables flexible financing solutions through fully digital journeys for learners pursuing education programs at vetted partner institutions.,"Victor Senapaty, Bibhu Prasad Das",WestBridge Capital,"$35,000,000",Series B
Pine Labs,1998,Noida,Information Technology & Services,A merchant platform company that provides financing and last-mile retail transaction technology to merchants,"Lokvir Kapoor, Rajul Garg, Tarun Upadhyay",Alpha Wave Venture,"$150,000,000",
Increff,2016,Bangalore,Computer Software,Increff is a business partner to Fashion and Lifestyle brands and retailers to deliver significant and sustainable increase in sales and inventory efficiency.,Rajul Jain,"TVS Capital Funds, Premji Invest","$12,000,000",Series B
Krishify,2019,Gurgaon,Social Media,Rural social network,"Rajesh Ranjan, Manish Agrawal, Avinash Kumar","Ankur Capital, Omidyar Network India, Orios Venture Partners","$6,200,000",Pre-series A
Fleetx.io,2017,Gurgaon,Computer Software,Fleetx is an AI-Driven Freight Movement Platform that helps supply chain and logistics stakeholders digitize their operations and helps them make smart decisions based on real time actionable insights.,"Abhay Jeet Gupta, Udbhav Rai, Parveen Kataria Vishal Misra",IndiaMart,"$19,000,000",Series B
MediBuddy,2002,Bangalore,"Health, Wellness & Fitness","MediBuddy - India’s Largest & most Trusted Digital Healthcare Platform for inpatient, outpatient, wellness & fitness needs","Satish Kannan, Enbasekar","Quadria Capital, Lightrock India","$125,000,000",Series C
Happilo,2016,Bangalore,Food & Beverages,Happilo is a gourmet healthy food brand from Bangalore.,Vikas Nahar,Motilal Oswal,"$25,000,000",
V-Ensure,2010,Mumbai,Pharma,Development of Pharmaceutical dossiers for the regulated markets.,Sathyanarayana vemula,Investcorp,"$10,000,000",
Chargeup,2019,New Delhi,Renewables & Environment,"Charge-up offers  Battery as a Service, solving the high cost problem  and inconvenience of  long charging hours,  through its distributed  network of battery swapping hubs.","Varun Goenka, Ankur Madan","Capital A, Anicut Capital","$2,500,000",Pre-series A
RetainIQ,2021,Bangalore,E-commerce,"RetainIQ enables ecommerce stores & brands globally, to convert and retain their customers","Sitakanta Ray, Arpit Gupta, Sulakshan Kumar",Accel Partners,"$2,300,000",Seed
Adicube,2019,Bangalore,Marketing & Advertising,An influencer marketing platform,Sreetam Panda,Pitcherlabs Ventures,"$1,600,000",Pre-seed
Com Olho,2019,Gurgaon,Information Technology & Services,Com Olho is a leading cloud-based cyber security as a service platform.,Abhinav Bangia,Inflection Point Venture,"$2,000,000",Seed
CertifyMe,2021,Bangalore,Information Technology & Services,A Credential platform that enables Event producers and TechEd firms to maximize their brand's presence,Ranjith Tharayil,Anas Rahman Junaid,Undisclosed,Seed
Wholsum Foods,2016,Gurgaon,Food & Beverages,Millet-based food startup,"Meghana Narayan, Shauravi Malik",Investment Corporation of Dubai,"$7,000,000",
SandLogic,2018,Bangalore,Computer Software,"SandLogic (SL) is an Enterprise AI company, born with a passion to deliver the AI that powers Enterprises.","Kamalakar Devaki, Jesudas Fernandes, Radhika Kanigiri, Ravi Kumar Rayana","Sanjay Singhania, Sai Kumar","$4,000,000",Pre-series A
Xoxoday,2012,Bangalore,Computer Software,"Xoxoday provides technology infrastructure to enable businesses to automate rewards, incentives & payouts for employees, customers & channel partners.","Sumit Khandelwal, Manoj Agarwal, Abhishek Kumar, Kushal Agrawal",Giift,"$30,000,000",
Shipsy,2015,Gurgaon,Computer Software,"Empower organizations handling trade and logistics to accelerate business growth, optimize costs and enhance customer experiences using our smart end-to-end global logistics management platform.","Soham, Himanshu Gupta, Dhruv Agrawal, Sahil Arora, Harsh Kumar","A91 Partners, Z3 Partners","$25,000,000",Series B
Arrivae,2017,Mumbai,Furniture,"Arrivae, an interior designing startu",Yash Kela,"Think Investments, Havells","$9,000,000",Series B
IvyCap Ventures,2011,Mumbai,Investment Management,IvyCap Ventures has launched a venture capital fund guided by an entrepreneur-centric investment approach.,Vikram Gupta,,"$215,000,000",
Finarkein Analytics,2019,Pune,Information Technology & Services,Finarkein Analytics are the builders of Flux: A responsible analytics platform.,Nikhil Kurhe,"IIFL, Info Edge",Undisclosed,Seed
StockDaddy,2021,Gurgaon,E-learning,StockDaddy ''The Stock Learning App'' that has the power to turn even a rookie into a booming trader at the stock market.,Alok Kumar,"Gurmimdar Pal Singh, Jatin Arneja",Undisclosed,
Prime Venture Partners,2011,Bangalore,Venture Capital & Private Equity,An early-stage Venture Fund managed by serial entrepreneurs.,"Shripati Acharya, Amit Somani, Sanjay Swamy",International Finance Corporation,"$120,000,000",
Bhanzu,2020,Hyderabad,Education Management,Bhanzu aims to inculcate a love for math at a global level and change the way students perceive math for a better world,Neelakantha Bhanu,"Nitin Gupta, Maninder Gulati","$2,000,000",Seed
Kalvi,2021,Bangalore,Education Management,World's first liberal engineering degree in Computer Science. Partnership with top universities and enterprises.,Rajesh Kumar,"Nithin Kamath, Rahul Chari","1,700,000",Seed
Aastey,2020,Mumbai,Apparel & Fashion,"Building India's first size inclusive brand for athleisure, activewear & essentials for women.","Kanupriya Mundhra, Jeevika Tyagi",CXXO,"$1,300,000",Seed
Accelero Vehicles,2017,New Delhi,Automotive,"eBik™ developed by ""Accelero Vehicles India Private Limited” aims to provide motorized mobility for all.",Anant Jain,"Social Alpha, LetsVenture","$200,000",Seed
UP Funds,2017,Bangalore,SaaS,SaaS Accelerator for founders who care about optionality,Shekar Nair,WestBridge Capital,"$9,000,000",
Koo,2020,Bangalore,Microblogging,"Koo App, the microblogging platform","Aprameya Radhakrishna,Mayank Bidawatka","Capsier Venture Partner, Ravi Modi Family Trust, Ashneer Grover, FBC Venture Partners, Adventz Finance","$10,000,000",
DaMENSCH,2018,Bangalore,Apparel & Fashion,"Innovative, sustainable, premium, essential fashion for men.","Anurag Saboo, Gaurav Pushkar",A91 Partners,"$10,000,000",Series B
TestSigma,2019,Bangalore,Information Technology & Services,A powerful open source test automation platform for modern teams.,"Rukmangada Kandyala, Pratheep Velicherla, Vikram Chaitanya, Rajesh Reddy","Accel, STRIVE","$4,600,000",
Upswing Financial Technologies,2021,Mumbai,Financial Services,"Enable consumer companies to offer differentiated financial products and empower the financial institutions with greater reach through our Secure, Scalable and easy to integrate API platform.","Anupam Bagchi, Nihar Gupta","Kunal Shah, Rajan Bajaj","$4,000,000",
ClaimBuddy,2020,Gurgaon,Hospital & Health Care,ClaimBuddy.in is a MediClaim support company that acts as one-stop solutions for Claim assistance for Patients & Hospitals.,"Ajit Patel, Khet Singh","Chiratae Ventures, Rebright Partners","$3,000,000",Pre-series A
